"english","bengali","preposition","example"
"abandon","বর্জন করা",,
"abduct","অপহরণ করা",,
"abductor","অপহরণকারী",,"Police rescued an abducted boy of comilla district and arrested the abductor from haji eidgah math area at dimla upazila in nilphamari on saturday, police sources said."
"aberration","স্খলন",,
"ablaze","বহ্নিমান",,"A housewife succumbed to her injuries today four days after she set herself ablaze as she was tortured by her husband allegedly for dowry. "
"abolish","উঠান",,
"abound","উড়া",,"Illegally modified vehicles abound"
"abs",,,
"absorb","শোষণ করা",,
"absurd","কিম্ভুতকিমাকার",,"Don't be absurd"
"abundant","প্রচুর",,
"abysmal","অতল; ভয়ঙ্কর",,"""I think over the last few months the behaviour has been abysmal in international cricket,"" arthur, who is currently pakistan's head coach, said."
"acclaimed","প্রশংসিত",,
"accomplice","যোগদানকারী",,
"accomplish","সাধা",,
"accord","চুক্তি",,"We have an accord"
"account","হিসাব",,
"accredit","কৃতিত্ব আরোপ করা",,
"accuse","অভিযুক্ত করা",,
"accustom","অভ্যস্ত করা",,
"ace","টেক্কা",,
"ache","ব্যথা",,
"acquire","অর্জন",,
"acquisition","অর্জন; অধিগ্রহণ",,"Land acquisition"
"acting","অভিনয়",,
"acute","তীব্র",,
"adamant","হীরক",,
"adaptation","অভিযোজন",,
"addendum","অভিযোজ্য বস্তু",,
"adequate","পর্যাপ্ত",,
"adhere","মেনে চলে",,
"adjourn","স্থগিত রাখা",,
"admit","সত্য বলিয়া স্বীকার করা",,
"adolescence","কৈশোর",,
"adulterants","ভেজাল",,
"adulteration","ভেজাল দেয়া",,
"adverse","প্রতিকূল",,"Adverse impact"
"aedes","এডিস; মশা বিশেষ",,
"aerial","বায়বীয়",,"1. The dhaka city corporation (dcc) is now ready for aerial spraying of larvicide to combat mosquitoes. 2. The indian border security force yesterday said it has no plan to deploy unmanned aerial vehicles, popularly known as drone."
"aesthetic","নান্দনিক",,
"affect","প্রভাবিত",,
"affiliate","শাখা",,
"affluent","ধনী",,
"afire","আগুন",,"Set afire"
"aforementioned","উপরোক্ত",,
"aforethought","পূর্বকল্পিত",,
"afraid",,,"I'm afraid not"
"aftermath","ভবিষ্যৎ ফল",,
"aggravate","বাড়া",,
"agile","কর্মতত্পর",,
"agitation","চাগাড়",,
"agitator","প্রচারক",,
"agonize","মানসিক যন্ত্রণাদায়ক",,
